gene	domain
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY3	pfam00211
ADCY3	pfam16214
ADCY8	pfam00211
ADCY8	pfam06327
ADCY8	pfam16214
ADCY8	pfam00211
ADCY8	pfam06327
ADCY8	pfam16214
ADCY8	pfam00211
ADCY8	pfam06327
ADCY8	pfam16214
ADPRT	pfam00533
ADPRT	pfam00645
ADPRT	pfam08063
ADSS	pfam00709
ADSS	pfam00709
AHR	pfam00989
AHR	pfam08447
ALCAM	pfam08205
ALCAM	pfam13927
ALCAM	pfam08205
ALCAM	pfam13927
ALCAM	pfam08205
ALCAM	pfam13927
ALEX1	pfam04821
ALEX1	pfam04826
ALEX3	pfam04826
ALEX3	pfam04826
ALEX3	pfam04826
ALEX3	pfam04826
ALS2CR3	pfam04849
ALS2CR3	pfam12448
ALS2CR3	pfam12448
ALS2CR3	pfam04849
ALS2CR3	pfam12448
ANKRA2	pfam12796
ANKRA2	pfam13637
ANKRA2	pfam12796
ANKRA2	pfam12796
ANKRA2	pfam13637
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANKT	pfam16006
ANLN	pfam00169
ANLN	pfam08174
ANLN	pfam16018
ANLN	pfam00169
ANLN	pfam08174
ANLN	pfam16018
ANLN	pfam00169
ANLN	pfam08174
ANLN	pfam16018
ANLN	pfam00169
ANLN	pfam08174
ANLN	pfam16018
ANLN	pfam00169
ANLN	pfam08174
ANLN	pfam16018
ANXA1	pfam00191
ANXA1	pfam00191
ANXA1	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA2	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
ANXA8	pfam00191
AP1S2	pfam01217
AP1S2	pfam01217
AP1S2	pfam01217
AP1S2	pfam01217
AP1S2	pfam01217
AP3B1	pfam01602
AP3B1	pfam12717
AP3B1	pfam14796
AP3B1	pfam14797
AP3B1	pfam01602
AP3B1	pfam12717
AP3B1	pfam14796
AP3B1	pfam14797
AP3B1	pfam01602
AP3B1	pfam12717
AP3B1	pfam14796
AP3B1	pfam14797
AP3B1	pfam01602
AP3B1	pfam12717
AP3B1	pfam14796
AP3B1	pfam14797
APG5L	pfam04106
APG5L	pfam04106
APG5L	pfam04106
APG5L	pfam04106
APOL3	pfam05461
APOL3	pfam05461
APOL3	pfam05461
APOL3	pfam05461
APOL3	pfam05461
APOL3	pfam05461
APOL3	pfam05461
ARG99	pfam00515
ARG99	pfam07719
ARG99	pfam08409
ARG99	pfam13414
ARG99	pfam13428
ARG99	pfam00515
ARG99	pfam07719
ARG99	pfam08409
ARG99	pfam13414
ARG99	pfam13428
ARG99	pfam00515
ARG99	pfam07719
ARG99	pfam08409
ARG99	pfam13414
ARG99	pfam13428
ARG99	pfam00515
ARG99	pfam07719
ARG99	pfam08409
ARG99	pfam13414
ARG99	pfam13424
ARG99	pfam13428
ARG99	pfam14559
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGAP10	pfam00169
ARHGEF12	pfam00621
ARHGEF12	pfam00621
ARHGEF12	pfam00621
ARHGEF12	pfam00621
ARHGEF12	pfam00621
ARHGEF12	pfam00621
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARNTL	pfam00010
ARNTL	pfam00989
ARNTL	pfam14598
ARTN	pfam00019
ARTN	pfam00019
ARTN	pfam00019
ASK	pfam07535
ASK	pfam07535
ASNS	pfam00733
ASNS	pfam00733
ASNS	pfam00733
ASNS	pfam00733
ASNS	pfam00733
ASNS	pfam00733
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ASPH	pfam05279
ASPH	pfam05118
ASPH	pfam13428
ATF2	pfam00019
ATF2	pfam00019
ATF2	pfam00019
ATF2	pfam00019
ATF2	pfam00019
ATF2	pfam00019
ATF2	pfam00019
ATP2B1	pfam00122
ATP2B1	pfam00689
ATP2B1	pfam00690
ATP2B1	pfam12424
ATP2B1	pfam12710
ATP2B1	pfam13246
ATP2B1	pfam00122
ATP2B1	pfam00689
ATP2B1	pfam00690
ATP2B1	pfam12424
ATP2B1	pfam12710
ATP2B1	pfam13246
ATP2B1	pfam00122
ATP2B1	pfam00689
ATP2B1	pfam00690
ATP2B1	pfam12424
ATP2B1	pfam12710
ATP2B1	pfam13246
ATP2B1	pfam00122
ATP2B1	pfam00689
ATP2B1	pfam00690
ATP2B1	pfam12424
ATP2B1	pfam12710
ATP2B1	pfam13246
ATP2B1	pfam00122
ATP2B1	pfam00689
ATP2B1	pfam00690
ATP2B1	pfam12424
ATP2B1	pfam12710
ATP2B1	pfam13246
ATP2B1	pfam00122
ATP2B1	pfam00690
ATP2B1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam00690
ATP2C1	pfam13246
ATP2C1	pfam00122
ATP2C1	pfam00689
ATP2C1	pfam13246
ATP6V0C	pfam00137
ATP6V0C	pfam00137
ATR	pfam02259
ATR	pfam02260
ATR	pfam02259
ATR	pfam02260
ATR	pfam02259
ATR	pfam02260
ATR	pfam02259
ATRAP	pfam06396
ATRAP	pfam06396
ATRAP	pfam06396
BAALC	pfam06989
BAALC	pfam06989
BAL	pfam00135
BAL	pfam15352
BAL	pfam16058
BARD1	pfam12796
BARD1	pfam14835
BARD1	pfam12796
BARD1	pfam14835
BAZ1B	pfam10537
BAZ1B	pfam15612
BAZ1B	pfam15613
BAZ1B	pfam15614
BAZ1B	pfam10537
BAZ1B	pfam15612
BAZ1B	pfam15613
BAZ1B	pfam15614
BBP	pfam10473
BBP	pfam12796
BBP	pfam10473
BBP	pfam12796
BBP	pfam10473
BBP	pfam12796
BBP	pfam10473
BBP	pfam12796
BBP	pfam10473
BBP	pfam12796
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BBX	pfam09667
BCAA	pfam08169
BCAA	pfam11717
BCAA	pfam08169
BCAA	pfam11717
BCAA	pfam08169
BCAA	pfam08169
BCAA	pfam08169
BCAA	pfam11717
BCAA	pfam11717
BEX1	pfam04538
BEX1	pfam04538
BEX1	pfam04538
BEX1	pfam04538
BHLHB3	pfam07527
BIRC2	pfam13920
BIRC2	pfam13920
BIRC2	pfam13920
BIRC5	pfam00653
BIRC5	pfam00653
BIRC5	pfam00653
BLK	pfam07714
BLK	pfam07714
BLK	pfam07714
BLK	pfam07714
BM039	pfam05238
BM039	pfam05238
BM039	pfam05238
BM039	pfam05238
BM039	pfam05238
BM039	pfam05238
BM039	pfam05238
BNIP3	pfam06553
BNIP3L	pfam06553
BNIP3L	pfam06553
BNIP3L	pfam06553
BOP1	pfam08145
BRD7	pfam12024
BRD7	pfam12024
BRD7	pfam12024
BRD7	pfam12024
BRD7	pfam12024
BRD7	pfam12024
BRD7	pfam12024
BRE	pfam06113
BRE	pfam06113
BRE	pfam06113
BRE	pfam06113
BRE	pfam06113
BRE	pfam06113
BRE	pfam06113
BRE	pfam06113
BRMS1	pfam08598
BRMS1	pfam08598
BTBD1	pfam00651
BTBD1	pfam08005
BTBD1	pfam00651
BTBD1	pfam08005
BTG2	pfam07742
C12orf5	pfam00300
C1orf8	pfam12280
C1orf8	pfam12280
C1orf8	pfam12280
C1orf8	pfam12280
C1orf8	pfam12280
C1orf8	pfam12280
C1orf8	pfam12280
C1orf8	pfam12280
C1orf9	pfam07738
C1orf9	pfam04899
C1orf9	pfam04899
C1orf9	pfam03938
C1orf9	pfam07738
C1orf9	pfam04899
C1orf9	pfam07738
C1orf9	pfam04899
C1orf9	pfam03938
C1orf9	pfam07738
C1orf9	pfam04899
C1orf9	pfam03938
C1orf9	pfam07738
C1orf9	pfam04899
C1orf9	pfam07738
C20orf1	pfam06886
C20orf1	pfam09041
C20orf1	pfam12214
C20orf1	pfam06886
C20orf1	pfam09041
C20orf1	pfam12214
C20orf1	pfam06886
C20orf1	pfam09041
C20orf1	pfam12214
C20orf1	pfam06886
C20orf1	pfam09041
C20orf1	pfam12214
C20orf108	pfam06916
C20orf111	pfam05604
C20orf111	pfam05604
C20orf111	pfam05604
C20orf111	pfam05604
C20orf111	pfam05604
C20orf16	pfam13450
C20orf16	pfam13450
C20orf16	pfam13450
C20orf16	pfam13450
C20orf16	pfam13450
C20orf16	pfam13450
C20orf88	pfam13900
C20orf88	pfam06375
C21orf45	pfam03226
C4orf1	pfam01545
C4ST	pfam03567
C4ST	pfam03567
C5orf6	pfam15242
C5orf6	pfam15242
C6ORF37	pfam07984
C7orf10	pfam02515
CAC-1	pfam00888
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CADPS	pfam00169
CADPS	pfam06292
CALU	pfam13499
CALU	pfam13499
CALU	pfam13499
CALU	pfam13499
CALU	pfam13499
CAMLG	pfam14963
CAMLG	pfam14963
CAP350	pfam01302
CAP350	pfam02463
CAP350	pfam01302
CAP350	pfam01302
CAP350	pfam02463
CAPN2	pfam00648
CAPN2	pfam01067
CAPN2	pfam00648
CAPN2	pfam01067
CAPN2	pfam00648
CAPN2	pfam01067
CAPZA1	pfam01267
CAPZA1	pfam01267
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAPZB	pfam01115
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAST	pfam00748
CAV1	pfam01146
CAV1	pfam01146
CAV1	pfam01146
CAV1	pfam01146
CBFB	pfam02312
CBFB	pfam02312
CBFB	pfam02312
CBFB	pfam02312
CBFB	pfam02312
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBLB	pfam02262
CBLB	pfam02761
CBR3	pfam00106
CCNA2	pfam00134
CCNA2	pfam02984
CCNA2	pfam16500
CCNB1	pfam00134
CCNB1	pfam02984
CCNB2	pfam00134
CCNB2	pfam02984
CCND1	pfam00134
CCND1	pfam02984
CCNDBP1	pfam13324
CCNDBP1	pfam13324
CCNE1	pfam00134
CCNE1	pfam02984
CCNE1	pfam00134
CCNE1	pfam02984
CCNE1	pfam00134
CCNE1	pfam02984
CCNE1	pfam00134
CCNE1	pfam02984
CCNE1	pfam00134
CCNE1	pfam02984
CCNE2	pfam00134
CCNE2	pfam02984
CCNE2	pfam00134
CCNE2	pfam02984
CCNE2	pfam00134
CCNE2	pfam02984
CCNE2	pfam00134
CCNE2	pfam02984
CCNE2	pfam00134
CDC27	pfam00515
CDC27	pfam12895
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam12895
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam12895
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam13181
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam13181
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam13181
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam13181
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam12895
CDC27	pfam13424
CDC27	pfam00515
CDC27	pfam12895
CDC27	pfam13424
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC45L	pfam02724
CDC6	pfam13191
CDC6	pfam13191
CDC6	pfam13191
CDCA1	pfam03800
CDCA1	pfam03800
CDCA1	pfam03800
CDCA7	pfam10497
CDCA7	pfam10497
CDCA7	pfam10497
CDH13	pfam00028
CDH13	pfam08758
CDH13	pfam00028
CDH13	pfam08758
CDH13	pfam00028
CDH13	pfam08758
CDH13	pfam08758
CDH13	pfam00028
CDH13	pfam08758
CDH13	pfam00028
CDKN1A	pfam02234
CDKN1A	pfam02234
CDKN1A	pfam02234
CDKN1A	pfam02234
CDKN1A	pfam02234
CDKN2D	pfam12796
CDKN2D	pfam12796
CDKN3	pfam05706
CDKN3	pfam05706
CDKN3	pfam05706
CDW92	pfam04515
CDW92	pfam04515
CDW92	pfam04515
CDW92	pfam04515
CDW92	pfam04515
CDW92	pfam04515
CDW92	pfam04515
CDW92	pfam04515
CECR5	pfam13344
CECR5	pfam13344
CGI-203	pfam13232
CGI-203	pfam13900
CGI-203	pfam13232
CGI-203	pfam13232
CGI-203	pfam13232
CGI-203	pfam13232
CHAF1A	pfam11600
CHAF1A	pfam12253
CHAF1A	pfam15539
CHAF1A	pfam15557
CHAF1A	pfam11600
CHAF1A	pfam12253
CHAF1A	pfam15539
CHAF1A	pfam15557
CHAF1A	pfam11600
CHAF1A	pfam12253
CHAF1A	pfam15539
CHAF1A	pfam15557
CHAF1A	pfam11600
CHAF1A	pfam12253
CHAF1A	pfam15539
CHAF1A	pfam15557
CHAF1B	pfam15512
CHAF1B	pfam15512
CHAF1B	pfam15512
CHAF1B	pfam15512
CHD1	pfam00176
CHD1	pfam00271
CHD1	pfam00385
CHD1	pfam08648
CHD1	pfam11496
CHD1	pfam13907
CHD1	pfam00176
CHD1	pfam00271
CHD1	pfam00385
CHD1	pfam11496
CHD1	pfam13907
CHD1	pfam00176
CHD1	pfam00271
CHD1	pfam00385
CHD1	pfam08648
CHD1	pfam11496
CHD1	pfam13907
CHD1	pfam00176
CHD1	pfam00271
CHD1	pfam00385
CHD1	pfam08648
CHD1	pfam11496
CHD1	pfam13907
CHIC2	pfam10256
CHIC2	pfam10256
CHIC2	pfam10256
CHRNA9	pfam02931
CHRNA9	pfam02932
CITED2	pfam04487
CITED2	pfam04487
CITED2	pfam04487
CKS1	pfam01111
CKS2	pfam01111
CLC_2	pfam00654
CLC_2	pfam00654
CLC_2	pfam00654
CLC_2	pfam00654
CLC_2	pfam00654
CLC_2	pfam00654
CLC_2	pfam00654
CLECSF2	pfam05473
CLIPR-59	pfam01302
CLIPR-59	pfam12796
CLIPR-59	pfam01302
CLIPR-59	pfam12796
CLONE24945	pfam00339
CLONE24945	pfam00339
CLONE24945	pfam00339
CLTC	pfam00637
CLTC	pfam01394
CLTC	pfam09268
CLTC	pfam13838
CLTC	pfam00637
CLTC	pfam01394
CLTC	pfam09268
CLTC	pfam13838
CLTC	pfam00637
CLTC	pfam01394
CLTC	pfam09268
CLTC	pfam13838
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNAP1	pfam15035
CNN3	pfam00402
CNN3	pfam00307
CNN3	pfam00402
CNN3	pfam00307
CNN3	pfam00402
CNN3	pfam00307
CNN3	pfam00402
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
CNOT2	pfam04153
COG5	pfam10392
COG5	pfam10392
COG5	pfam10392
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL13A1	pfam01391
COL4A3BP	pfam00169
COL4A3BP	pfam00169
COL4A3BP	pfam00169
COL4A3BP	pfam00169
COL4A3BP	pfam00169
COL4A3BP	pfam00169
COL4A3BP	pfam00169
COL6A1	pfam01391
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL6A3	pfam01391
COL6A3	pfam00014
COL6A3	pfam00092
COL8A1	pfam01391
COL8A1	pfam01391
COP1	pfam00097
COP1	pfam00097
COP1	pfam00097
COP1	pfam00097
COP1	pfam13094
COP1	pfam00097
COP1	pfam00097
COPB	pfam01602
COPB	pfam07718
COPB	pfam14806
COPB	pfam01602
COPB	pfam07718
COPB	pfam14806
COPB	pfam01602
COPB	pfam07718
COPB	pfam14806
COPEB	pfam00096
COPEB	pfam13465
COPEB	pfam00096
COPEB	pfam13465
CORO1C	pfam05873
CORO1C	pfam08953
CORO1C	pfam16300
CORO1C	pfam05873
CORO1C	pfam08953
CORO1C	pfam16300
CORO1C	pfam05873
CORO1C	pfam08953
CORO1C	pfam16300
CORO1C	pfam05873
CORO1C	pfam08953
CORO1C	pfam16300
CORO1C	pfam05873
CORO1C	pfam08953
CORO1C	pfam16300
CORO1C	pfam05873
CORO1C	pfam08953
CORO1C	pfam16300
CORO1C	pfam05873
CORO1C	pfam16300
CORO2B	pfam08953
CORO2B	pfam16300
CORO2B	pfam08953
CORO2B	pfam16300
CORO2B	pfam08953
CORO2B	pfam16300
CORO2B	pfam08953
CORO2B	pfam16300
CORO2B	pfam08953
CORO2B	pfam16300
CPR8	pfam05837
CPR8	pfam04375
CPR8	pfam05837
CPR8	pfam05837
CPSF3	pfam07521
CPSF3	pfam07521
CPSF3	pfam07521
CPSF3	pfam07521
CPSF3	pfam07521
CRIM1	pfam00219
CRIM1	pfam02822
CRIM1	pfam00219
CRIM1	pfam02822
CRIM1	pfam00219
CRIM1	pfam02822
CRIM1	pfam00219
CRIM1	pfam02822
CRIM1	pfam00219
